145	Dotan	2024-09-19 20:16:41	2024-09-19 20:16:42	1.0
145	Dotan	2024-09-19 20:16:48	2024-09-19 20:16:49	1.0
145	Dotan	2024-09-19 20:16:56	2024-09-19 20:16:57	1.0
145	Dotan	2024-09-19 20:17:00	2024-09-19 20:17:00	0.0
145	Dotan	2024-09-19 20:17:02	2024-09-19 20:17:03	1.0
145	Dotan	2024-09-19 20:17:05	2024-09-19 20:17:19	14.0
145	Dotan	2024-09-19 20:19:13	2024-09-19 20:19:14	1.0
145	Dotan	2024-09-19 20:22:39	2024-09-19 20:22:40	1.0
145	Dotan	2024-09-19 20:22:40	2024-09-19 20:22:41	1.0
145	Dotan	2024-09-19 20:26:50	2024-09-19 20:26:52	2.0
